,question,answer,intent
129,What is Windows 10 Enterprise E3 and Windows 10 Enterprise E5?,"Windows 10 Enterprise E3 and E5 are new subscription based editions of Windows 10 Enterprise for enterprise customers. These versions are delivered as part of a wider suite of services such as Office 365, Dynamics Azure and Enterprise Mobility + Security.   An exclusive service available only to Windows 10 Enterprise E3 or E5 called   Windows Defender Advanced Threat Protection. The service will cost $84 per user, per year and will require an approved Cloud Service Provider.  Learn more:   Microsoft Introduces Windows 10 Enterprise Subscriptions ",windows_editions
130,Will other editions of Windows 10 also become subscriptions?,"No, other editions such as Windows 10 Home, Pro, Enterprise and Mobile will not become subscriptions and will be updated for free using the same release cadence. Volume License customers with Software Assurance can continue to deploy and use Windows 10 Pro   and Enterprise just as they do today. ",windows_editions
131,Microsoft says Windows 10 Pro installations can be upgraded to Windows 10 Enterprise E3 or E5 within 2 minutes. How is this done?,"A license is assigned to a user through Azure Active Directory. When the user signs in, the upgrade is performed on the fly. This can also be done presently for standard Windows 10 Pro and Enterprise installations by updating the product key values using   a Windows 10 Enterprise Volume License Key. credit to Michael Niehaus (Microsoft)  for clarification. ",
132,What are the minimum system requirements to run the Windows 10 Anniversary Update?,"If you want to upgrade to Windows 10 on your PC or tablet, here’s what it takes. Latest OS:  Make sure you are running the latest version either Windows 7 SP1 or Windows 8.1 Update.  For Windows 8.1, see the following article: http://windows.microsoft.com/en-us/windows-8/install-latest-update-windows-8-1  For Windows 7, see the following article: http://windows.microsoft.com/en-US/windows7/learn-how-to-install-windows-7-service-pack-1-sp1  Processor:  1 gigahertz (GHz) or faster processor or SoC RAM:  1 gigabyte (GB) for 32-bit or 2 GB for 64-bit  Hard disk space:  16 GB for 32-bit OS 20 GB for 64-bit OS  Graphics card:  DirectX 9 or later with WDDM 1.0 driver  Display:  1024x600  ",
133,"I am running Windows 10 Enterprise or Windows 10 Education, how will I upgrade to Windows 10 Anniversary Update?","The ability to upgrade Enterprise and Education editions of Windows 10 will depend on your employer and Network/IT Administrators discretion. This is especially the case if you are connected to a workplace/school/domain.  Volume License clients such as Windows 10 Pro and Enterprise/Education utilizing KMS and MAK licenses should be updated by downloading the installation files for Windows 10 from the volume license servicing center, or TechNet/MSDN if you have a subscription   or install based on your employers parameters.  Students running Windows 10 Education not connected to a business network might be able to download updated ISO files from the    Download Academics Products website.  Windows 10 Education users can also use Windows Update or the Media Creation Tool to update to the Windows 10 Anniversary Update.  The upgrade is reporting I do not have enough space. ",
134,Which versions of Windows can I upgrade from to the Windows 10  Anniversary Update?,"Windows 10 1507 (build 10240), Windows 10 1511 (10586), Windows 7 with Service Pack 1 and Windows 8.1 with Update 1. ",
135,"If I buy Windows 10 Home or Pro today, will I get the free upgrade to Windows 10 Anniversary Update?","Yes, computers running Windows 10 are eligible for a free upgrade to Windows 10 Anniversary Update. ",
136,What about computers running Windows earlier versions such as Windows 7 or Windows 8?,"Computers running earlier versions of Windows 7 or Windows 8 must upgrade to Windows 10 before July 29th in order to be eligible for the free upgrade to Windows 10 Anniversary Update. If you do not upgrade before then, you will need to purchase Windows   10 license. ",
137,"My computer is running Windows 7 or Windows 8, but I don't want to upgrade right now. Is there anyway I can still get the free upgrade without missing out?"," The Windows 10 Free Upgrade Offer ended on July 29th 2016 officially. It is now August 2016, the official recommendation for users who missed the free upgrade offer, is to purchase a full license.  Buy Windows 10 Home/Pro  There might still be a small window of opportunity, its worth a try.  If the Windows 10 Upgrade Assistant becomes stuck or unresponsive at various percentages: 0%, 32%, 62%, 87%, 99%, please wait at least 4 to 7 hours. If you are updating through Windows Update, when the download reaches 99% disconnect from the Internet LAN   (Ethernet) or Wi-Fi then proceed with the installation.  If setup does not progress, close the wizard then restart your computer. Follow the instructions to upgrade manually using the Media Creation Tool or the Windows 10 ISO file.  Three Ways to Upgrade to Windows 10 Anniversary Update  If setup did not complete on time and you experience problems activating. Contact Chat support after the Windows 10 installation is complete. Click Start > All Apps > Contact Support. Explain your situation to the chat agent.  Activate Your Windows 10 License via Microsoft Chat Support ",
138,How can I identify if I have the Windows 10 Anniversary Update installed?,Press Windows key + R then type: winver hit Enter on your keyboard. Look at the OS version number which is 14393 or later. ,
139,What are some of the new features and improvements in the Windows 10 Anniversary Update?,,
140,Will my existing apps and hardware drivers work on Windows 10  Anniversary Update?,"If they currently work in Windows 10 builds 10240 or 10586, they should work on the  Anniversary Update too. You can also download the Windows 10 Reservation App and use it to check your system readiness. How   to reserve your free upgrade to Windows 10 ",
141,When does the Windows 10 Anniversary Update Previews expire?,"October 1st 2016.  I have updated to the Windows 10 Anniversary Update, but I would like to leave the Windows 10 Insider Program. Click Start > Settings > Update & security > Windows Insider Program > Stop Insider Preview Builds. Please note, you must have upgraded from a genuine, activated Windows 7 or Windows 10 license in order to do this or consider purchasing a full license.    I left the Windows 10 Insider Program, but Windows is asking me to activate. If you leave the Windows 10 Insider Program, you must have a genuine Windows 7 or Windows 8 qualifying license to activate Windows 10. ",
142,"Windows 8.0, Windows 8.1 or Windows 10 came preinstalled on my computer, how do I find the product key?"," Press Windows key + X Click Command Prompt (admin) Enter the following command:  wmic path SoftwareLicensingService get OA3xOriginalProductKey Hit Enter The product key will be revealed, copy the product key then enter it  Click Start > Settings > Update & security  > Activation > Change the product key then enter the new product key then click  Next to Activate  If you are unable to activate Windows 10 after all the above and you are certain you have the correct edition installed, then please attempt phone activation:  Activate Your Windows 10 License via Microsoft Chat Support ",
143,"Windows 7 came preinstalled on my computer, how do I find the product key?"," The product key is usually located on the COA sticker attached to the bottom of your laptop or in the battery compartment. In some rare cases it can also be found in the memory compartment. For tower systems, look at the top or the side of the system unit. It   looks like the following:    If the Certificate of Authenticity (COA) sticker is damaged or letters or not legible, you will have to consider the following options:  Buy Windows 10 Home/Pro  Learn more:  How to Activate and resolve common Product key issues in Windows 10 ",
144,Can I dual boot the Anniversary Update  and previous versions of Windows?,Yes: How to:   setup a dual boot configuration with Windows 10 and previous versions of Windows ,
145,"Suppose I do not like the Windows 10 Anniversary Update, how do I go back to my previous build or previous version of Windows?",How to: Rollback to a previous version of   Windows from Windows 10 Or How   to: Reinstall or Restore your original Windows installation after upgrading to or evaluating Windows 10 ,
146,How can I submit feedback about Windows 10 1607 when I install it?,"Click Start then type Feedback then hit Enter.  Is there a forum I post questions and also share feedback about my experiences with Windows 10 Redstone? Yes, you can use the dedicated Windows   10 Insider Forums.  At the 2016 BUILD Conference in San Francisco, CA, Microsoft announced some exciting improvements coming to the next major revision of Windows.  First, a look at the state of Windows 10 over the past 8 months.   What is the Windows 10 Anniversary Update?",
147,What are some of the key new features coming in Windows 10 Anniversary Update?,"    This is just the tip of the iceberg. Microsoft is building an exciting development platform experience for developers going forward.  Learn more: https://blogs.windows.com/windowsexperience/2016/03/30/windows-10-anniversary-update-brings-new-experiences-and-developer-opportunity/  As new information becomes available, this FAQ will be updated.  Resources:  Frequently Asked Questions: Windows 10  Was this article helpful?  Yes No Sorry this didn't help. Great! Thanks for your feedback. How satisfied are you with this article? Thanks for your feedback, it helps us improve the site. How satisfied are you with this article? Thanks for your feedback. Will win 10 anniversary update  completely overwrite  the present build  downloaded to users..  I have a problem  with recent files not showing   that could be repaired with the new update.........As an elderly  user I find the changes very exciting   although sometime daunting to get around...... its like going to school again.......  but keeps your attention.... thanks   1 person found this comment helpful Was this comment helpful?  Yes No Sorry this didn't help. Great! Thanks for your feedback. How satisfied are you with this comment? Thanks for your feedback, it helps us improve the site. How satisfied are you with this comment? Thanks for your feedback. You keep advertising that there will be ""simultaneous pen and touch"" for all devices yet I can confirm that with the preview build 14393.5, that feature is still not working with a Cintiq.  I already reinstalled the latest Wacom driver and Windows settings already have ""Ignore touch input when pen still on screen"" set to Off. Yet it is still ignoring my touch when I put my pen on the screen.  Is there anything that I missed? 1 person found this comment helpful Was this comment helpful?  Yes No Sorry this didn't help. Great! Thanks for your feedback. How satisfied are you with this comment? Thanks for your feedback, it helps us improve the site. How satisfied are you with this comment? Thanks for your feedback. It's finally August 2nd, and I've been looking for the update all morning on my Surface Pro 4. Now 10.15 am and still nothing.",
148,Thought Surface devices were due to get the update first?,"1 person found this comment helpful Was this comment helpful?  Yes No Sorry this didn't help. Great! Thanks for your feedback. How satisfied are you with this comment? Thanks for your feedback, it helps us improve the site. How satisfied are you with this comment? Thanks for your feedback. 1 person found this comment helpful Was this comment helpful?  Yes No Sorry this didn't help. Great! Thanks for your feedback. How satisfied are you with this comment? Thanks for your feedback, it helps us improve the site. How satisfied are you with this comment? Thanks for your feedback. 1 person found this comment helpful Was this comment helpful?  Yes No Sorry this didn't help. Great! Thanks for your feedback. How satisfied are you with this comment? Thanks for your feedback, it helps us improve the site. How satisfied are you with this comment? Thanks for your feedback. Ok I have two computers one has Windows 10 pro the other (my wife's) has Home edition the Pro one allowed me to update (though not automatically i had to go and manually start it from the updates screen by hitting check for updates.) However, my Wife's Machine   has not update to it yet nor is this option even avalible in the updates screen when hitting check for updates!  Are they releasing this on a tiered scale similar to how they launched the actual OS? Or is there some other issue preventing her machine from seeing the update? Both are activated and genuine copies mine was a free upgrade hers due to her machine messing   up was a purchased retail copy. 1 person found this comment helpful Was this comment helpful?  Yes No Sorry this didn't help. Great! Thanks for your feedback. How satisfied are you with this comment? Thanks for your feedback, it helps us improve the site. How satisfied are you with this comment? Thanks for your feedback. Don't download it. It completely destroyed all of my settings - Outlook, Firefox, how I had my pc setup - look feel. Disconnects everything. TOTAL RESET.  It's horrible. 1 person found this comment helpful Was this comment helpful?  Yes No Sorry this didn't help. Great! Thanks for your feedback. How satisfied are you with this comment? Thanks for your feedback, it helps us improve the site. How satisfied are you with this comment? Thanks for your feedback. Another problem with Win10 updates, not just the AU, is after a major patch, in the Add/Remove programs list, the INSTALL DATE of (most of) my programs has changed to the date of the Windows update install.  This is very bad practise for troubleshooting   other problems not just with the OS. Microsoft really should address this. 1 person found this comment helpful Was this comment helpful?  Yes No Sorry this didn't help. Great! Thanks for your feedback. How satisfied are you with this comment? Thanks for your feedback, it helps us improve the site. How satisfied are you with this comment? Thanks for your feedback. 1 person found this comment helpful Was this comment helpful?  Yes No Sorry this didn't help. Great! Thanks for your feedback. How satisfied are you with this comment? Thanks for your feedback, it helps us improve the site. How satisfied are you with this comment?",
